task_id,topology,correct,majority_answer,correct_answer,vote_agreement,n_rounds,model,timestamp
0,chain,False,Pedro Salvaje,Celeste Nweke,0.3,3,claude-haiku-4-5-20251001,2026-06-17T09:45:55.104326
1,chain,False,Senzo Malik,Sable Finch,0.65,3,claude-haiku-4-5-20251001,2026-06-17T09:48:08.617583
2,chain,True,Senzo Malik,Senzo Malik,0.3,3,claude-haiku-4-5-20251001,2026-06-17T09:50:24.541925
3,chain,True,Seraphina Ó,Seraphina Ó,0.5,3,claude-haiku-4-5-20251001,2026-06-17T09:52:47.340101
4,chain,True,DJ Thunderclap,DJ Thunderclap,0.45,3,claude-haiku-4-5-20251001,2026-06-17T09:55:00.367034
5,chain,False,Nneka Abara,The Riven,0.3,3,claude-haiku-4-5-20251001,2026-06-17T09:57:23.898254
6,chain,True,Nneka Abara,Nneka Abara,0.85,3,claude-haiku-4-5-20251001,2026-06-17T09:59:30.764697
7,chain,True,Celeste Nweke,Celeste Nweke,1.0,3,claude-haiku-4-5-20251001,2026-06-17T10:01:46.602036
8,chain,True,Yuki Tanase,Yuki Tanase,0.65,3,claude-haiku-4-5-20251001,2026-06-17T10:04:03.666422
9,chain,False,Remy Vail,Sable Finch,0.4,3,claude-haiku-4-5-20251001,2026-06-17T10:06:17.033073
10,chain,False,Tomás Vidal,Kaia Storm,0.5,3,claude-haiku-4-5-20251001,2026-06-17T10:08:31.094832
11,chain,True,Tomás Vidal,Tomás Vidal,0.65,3,claude-haiku-4-5-20251001,2026-06-17T10:11:00.912793
12,chain,True,Pedro Salvaje,Pedro Salvaje,0.3,3,claude-haiku-4-5-20251001,2026-06-17T10:13:25.536242
13,chain,False,Senzo Malik,Hana Voss,0.75,3,claude-haiku-4-5-20251001,2026-06-17T10:15:37.740471
14,chain,True,Tomás Vidal,Tomás Vidal,0.4,3,claude-haiku-4-5-20251001,2026-06-17T10:17:48.704492
15,chain,False,Frost Ellery,Tomás Vidal,0.45,3,claude-haiku-4-5-20251001,2026-06-17T10:19:55.996268
16,chain,True,Yuki Tanase,Yuki Tanase,1.0,3,claude-haiku-4-5-20251001,2026-06-17T10:22:28.384861
17,chain,False,Miles Corrigan,Luka Dray,0.45,3,claude-haiku-4-5-20251001,2026-06-17T10:24:40.175854
18,chain,False,Senzo Malik,DJ Thunderclap,0.35,3,claude-haiku-4-5-20251001,2026-06-17T10:26:47.706690
19,chain,True,DJ Thunderclap,DJ Thunderclap,0.9,3,claude-haiku-4-5-20251001,2026-06-17T10:28:59.228354
20,chain,False,Frost Ellery,Kaia Storm,0.45,3,claude-haiku-4-5-20251001,2026-06-17T10:31:16.855384
21,chain,False,Miles Corrigan,Sable Finch,0.75,3,claude-haiku-4-5-20251001,2026-06-17T10:33:30.663772
22,chain,False,Kaia Storm,The Drift,0.25,3,claude-haiku-4-5-20251001,2026-06-17T10:35:41.757342
